	hia	hia.cls	bbb	bbb.cls	caco2	caco2.cls	p_glycoprotein_substrate	p_glycoprotein_substrate.cls	p_glycoprotein_inhibitor_1	p_glycoprotein_inhibitor_1.cls	p_glycoprotein_inhibitor_2	p_glycoprotein_inhibitor_2.cls	renal_organic_cation_transporter	renal_organic_cation_transporter.cls	cyp450_2c9_substrate	cyp450_2c9_substrate.cls	cyp450_2d6_substrate	cyp450_2d6_substrate.cls	cyp450_3a4_substrate	cyp450_3a4_substrate.cls	cyp450_1a2_substrate	cyp450_1a2_substrate.cls	cyp450_2c9_inhibitor	cyp450_2c9_inhibitor.cls	cyp450_2d6_inhibitor	cyp450_2d6_inhibitor.cls	cyp450_2c19_inhibitor	cyp450_2c19_inhibitor.cls	cyp450_3a4_inhibitor	cyp450_3a4_inhibitor.cls	cyp_inhibitory_promiscuity	cyp_inhibitory_promiscuity.cls	ames_toxicity	ames_toxicity.cls	carcinogenicity	carcinogenicity.cls	biodegradation	biodegradation.cls	herg_inhibitor_1	herg_inhibitor_1.cls	herg_inhibitor_2	herg_inhibitor_2.cls	id
0	0.8811	True	0.996	False	0.8319	False	0.8692	Substrate	0.647	Non-inhibitor	0.7858	Non-inhibitor	0.7959	Non-inhibitor	0.7558	Non-substrate	0.7957	Non-substrate	0.5794	Substrate	0.8977	Non-inhibitor	0.8331	Non-inhibitor	0.8894	Non-inhibitor	0.7784	Non-inhibitor	0.744	Non-inhibitor	0.9357	Low CYP Inhibitory Promiscuity	0.7642	Non AMES toxic	0.8217	Non-carcinogens	0.9705	Not ready biodegradable	0.9307	Weak inhibitor	0.514	Non-inhibitor	DB00006
1	0.9771	True	0.8816	False	0.7772	False	0.9016	Substrate	0.5834	Non-inhibitor	0.8342	Non-inhibitor	0.7673	Non-inhibitor	0.7534	Non-substrate	0.7806	Non-substrate	0.6353	Substrate	0.8265	Non-inhibitor	0.7506	Non-inhibitor	0.8835	Non-inhibitor	0.7254	Non-inhibitor	0.6347	Non-inhibitor	0.9054	Low CYP Inhibitory Promiscuity	0.5851	Non AMES toxic	0.6406	Non-carcinogens	1.0	Not ready biodegradable	0.8841	Weak inhibitor	0.5249	Inhibitor	DB00014
2	0.7979	True	0.8866	False	0.7612	False	0.8242	Substrate	0.7864	Non-inhibitor	0.9237	Non-inhibitor	0.5915	Non-inhibitor	0.7833	Non-substrate	0.7901	Non-substrate	0.5497	Non-substrate	0.8383	Non-inhibitor	0.7906	Non-inhibitor	0.8735	Non-inhibitor	0.765	Non-inhibitor	0.7663	Non-inhibitor	0.9331	Low CYP Inhibitory Promiscuity	0.6679	Non AMES toxic	0.8428	Non-carcinogens	0.9445	Not ready biodegradable	0.83	Weak inhibitor	0.6036	Inhibitor	DB00035
3	0.913	True	0.9647	False	0.748	False	0.8796	Substrate	0.8235	Non-inhibitor	0.6194	Inhibitor	0.6856	Non-inhibitor	0.7609	Non-substrate	0.7938	Non-substrate	0.6358	Substrate	0.7491	Non-inhibitor	0.6987	Non-inhibitor	0.8339	Non-inhibitor	0.7056	Non-inhibitor	0.6531	Inhibitor	0.9001	Low CYP Inhibitory Promiscuity	0.6327	Non AMES toxic	0.7553	Non-carcinogens	1.0	Not ready biodegradable	0.7601	Weak inhibitor	0.649	Inhibitor	DB00050
4	0.8727	True	0.9659	False	0.6994	False	0.8463	Substrate	0.8685	Inhibitor	0.5992	Non-inhibitor	0.9485	Non-inhibitor	0.8628	Non-substrate	0.8823	Non-substrate	0.6407	Substrate	0.9045	Non-inhibitor	0.923	Non-inhibitor	0.9265	Non-inhibitor	0.9026	Non-inhibitor	0.6112	Non-inhibitor	0.9968	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.8948	Non-carcinogens	0.9244	Not ready biodegradable	0.9815	Weak inhibitor	0.9214	Non-inhibitor	DB00091
5	0.9239	True	0.8738	False	0.7824	False	0.8557	Substrate	0.9599	Non-inhibitor	0.969	Non-inhibitor	0.8506	Non-inhibitor	0.8205	Non-substrate	0.7632	Non-substrate	0.5268	Non-substrate	0.7975	Non-inhibitor	0.7743	Non-inhibitor	0.8449	Non-inhibitor	0.7355	Non-inhibitor	0.8236	Non-inhibitor	0.708	Low CYP Inhibitory Promiscuity	0.6448	Non AMES toxic	0.8761	Non-carcinogens	0.9943	Not ready biodegradable	0.9693	Weak inhibitor	0.6064	Inhibitor	DB00104
6	0.5078	True	0.8022	True	0.6476	False	0.6324	Non-substrate	0.9035	Non-inhibitor	0.9694	Non-inhibitor	0.882	Non-inhibitor	0.6828	Non-substrate	0.7978	Non-substrate	0.5915	Non-substrate	0.8704	Non-inhibitor	0.9041	Non-inhibitor	0.901	Non-inhibitor	0.8772	Non-inhibitor	0.9308	Non-inhibitor	0.9352	Low CYP Inhibitory Promiscuity	0.6624	Non AMES toxic	0.8948	Non-carcinogens	0.5443	Ready biodegradable	0.8729	Weak inhibitor	0.9128	Non-inhibitor	DB00114
7	0.9574	True	0.7447	False	0.6455	False	0.8341	Substrate	0.5082	Non-inhibitor	0.6369	Inhibitor	0.898	Non-inhibitor	0.8104	Non-substrate	0.8085	Non-substrate	0.65	Substrate	0.8775	Non-inhibitor	0.8775	Non-inhibitor	0.8737	Non-inhibitor	0.7076	Non-inhibitor	0.7118	Inhibitor	0.8125	Low CYP Inhibitory Promiscuity	0.5707	Non AMES toxic	0.7782	Non-carcinogens	0.9972	Not ready biodegradable	0.8988	Weak inhibitor	0.682	Non-inhibitor	DB00115
8	0.5181	False	0.533	False	0.8443	False	0.7509	Substrate	0.972	Non-inhibitor	0.9966	Non-inhibitor	0.8752	Non-inhibitor	0.8058	Non-substrate	0.7984	Non-substrate	0.637	Non-substrate	0.9344	Non-inhibitor	0.9265	Non-inhibitor	0.9437	Non-inhibitor	0.9215	Non-inhibitor	0.9161	Non-inhibitor	0.9631	Low CYP Inhibitory Promiscuity	0.8293	Non AMES toxic	0.954	Non-carcinogens	0.8759	Not ready biodegradable	0.9534	Weak inhibitor	0.6623	Non-inhibitor	DB00116
9	0.8921	True	0.7546	True	0.6669	False	0.6143	Non-substrate	0.9889	Non-inhibitor	0.9923	Non-inhibitor	0.907	Non-inhibitor	0.8647	Non-substrate	0.8235	Non-substrate	0.8363	Non-substrate	0.9815	Non-inhibitor	0.9646	Non-inhibitor	0.9566	Non-inhibitor	0.9656	Non-inhibitor	0.8309	Non-inhibitor	0.9798	Low CYP Inhibitory Promiscuity	0.7016	Non AMES toxic	0.9206	Non-carcinogens	0.569	Not ready biodegradable	0.9893	Weak inhibitor	0.9551	Non-inhibitor	DB00117
10	0.8102	True	0.8894	False	0.7307	False	0.7584	Substrate	0.9664	Non-inhibitor	0.993	Non-inhibitor	0.9295	Non-inhibitor	0.8308	Non-substrate	0.8224	Non-substrate	0.5753	Substrate	0.8308	Non-inhibitor	0.8396	Non-inhibitor	0.9192	Non-inhibitor	0.8457	Non-inhibitor	0.9731	Non-inhibitor	0.9647	Low CYP Inhibitory Promiscuity	0.6899	Non AMES toxic	0.9417	Non-carcinogens	0.9486	Not ready biodegradable	0.9755	Weak inhibitor	0.7962	Non-inhibitor	DB00118
11	0.9753	True	0.9401	True	0.6934	False	0.8153	Non-substrate	0.9498	Non-inhibitor	0.9514	Non-inhibitor	0.949	Non-inhibitor	0.7951	Non-substrate	0.9402	Non-substrate	0.7806	Non-substrate	0.98	Non-inhibitor	0.9608	Non-inhibitor	0.9697	Non-inhibitor	0.9834	Non-inhibitor	0.9882	Non-inhibitor	0.9932	Low CYP Inhibitory Promiscuity	0.8578	Non AMES toxic	0.5171	Carcinogens 	0.9262	Ready biodegradable	0.9883	Weak inhibitor	0.9801	Non-inhibitor	DB00119
12	0.9733	True	0.5902	True	0.8129	True	0.721	Non-substrate	0.9916	Non-inhibitor	0.9941	Non-inhibitor	0.9204	Non-inhibitor	0.8512	Non-substrate	0.8296	Non-substrate	0.8378	Non-substrate	0.9448	Non-inhibitor	0.9792	Non-inhibitor	0.9674	Non-inhibitor	0.9797	Non-inhibitor	0.9278	Non-inhibitor	0.9896	Low CYP Inhibitory Promiscuity	0.9211	Non AMES toxic	0.8441	Non-carcinogens	0.7562	Ready biodegradable	0.9805	Weak inhibitor	0.9737	Non-inhibitor	DB00120
