Unnamed: 0	hia	hia.cls	bbb	bbb.cls	caco2	caco2.cls	p_glycoprotein_substrate	p_glycoprotein_substrate.cls	p_glycoprotein_inhibitor_1	p_glycoprotein_inhibitor_1.cls	p_glycoprotein_inhibitor_2	p_glycoprotein_inhibitor_2.cls	renal_organic_cation_transporter	renal_organic_cation_transporter.cls	cyp450_2c9_substrate	cyp450_2c9_substrate.cls	cyp450_2d6_substrate	cyp450_2d6_substrate.cls	cyp450_3a4_substrate	cyp450_3a4_substrate.cls	cyp450_1a2_substrate	cyp450_1a2_substrate.cls	cyp450_2c9_inhibitor	cyp450_2c9_inhibitor.cls	cyp450_2d6_inhibitor	cyp450_2d6_inhibitor.cls	cyp450_2c19_inhibitor	cyp450_2c19_inhibitor.cls	cyp450_3a4_inhibitor	cyp450_3a4_inhibitor.cls	cyp_inhibitory_promiscuity	cyp_inhibitory_promiscuity.cls	ames_toxicity	ames_toxicity.cls	carcinogenicity	carcinogenicity.cls	biodegradation	biodegradation.cls	herg_inhibitor_1	herg_inhibitor_1.cls	herg_inhibitor_2	herg_inhibitor_2.cls	id
0	0.8811	True	0.996	False	0.8319	False	0.8692	Substrate	0.647	Non-inhibitor	0.7858	Non-inhibitor	0.7959	Non-inhibitor	0.7558	Non-substrate	0.7957	Non-substrate	0.5794	Substrate	0.8977	Non-inhibitor	0.8331	Non-inhibitor	0.8894	Non-inhibitor	0.7784	Non-inhibitor	0.744	Non-inhibitor	0.9357	Low CYP Inhibitory Promiscuity	0.7642	Non AMES toxic	0.8217	Non-carcinogens	0.9705	Not ready biodegradable	0.9307	Weak inhibitor	0.514	Non-inhibitor	DB00006
4	0.8727	True	0.9659	False	0.6994	False	0.8463	Substrate	0.8685	Inhibitor	0.5992	Non-inhibitor	0.9485	Non-inhibitor	0.8628	Non-substrate	0.8823	Non-substrate	0.6407	Substrate	0.9045	Non-inhibitor	0.923	Non-inhibitor	0.9265	Non-inhibitor	0.9026	Non-inhibitor	0.6112	Non-inhibitor	0.9968	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.8948	Non-carcinogens	0.9244	Not ready biodegradable	0.9815	Weak inhibitor	0.9214	Non-inhibitor	DB00091
8	0.5181	False	0.533	False	0.8443	False	0.7509	Substrate	0.972	Non-inhibitor	0.9966	Non-inhibitor	0.8752	Non-inhibitor	0.8058	Non-substrate	0.7984	Non-substrate	0.637	Non-substrate	0.9344	Non-inhibitor	0.9265	Non-inhibitor	0.9437	Non-inhibitor	0.9215	Non-inhibitor	0.9161	Non-inhibitor	0.9631	Low CYP Inhibitory Promiscuity	0.8293	Non AMES toxic	0.954	Non-carcinogens	0.8759	Not ready biodegradable	0.9534	Weak inhibitor	0.6623	Non-inhibitor	DB00116
21	0.6115	False	0.9402	True	0.7398	False	0.6874	Non-substrate	0.9111	Non-inhibitor	0.9852	Non-inhibitor	0.947	Non-inhibitor	0.848	Non-substrate	0.8331	Non-substrate	0.5462	Non-substrate	0.9078	Non-inhibitor	0.9419	Non-inhibitor	0.921	Non-inhibitor	0.9293	Non-inhibitor	0.9296	Non-inhibitor	0.9633	Low CYP Inhibitory Promiscuity	0.8718	Non AMES toxic	0.9239	Non-carcinogens	0.9793	Not ready biodegradable	0.976	Weak inhibitor	0.8625	Non-inhibitor	DB00131
22	0.9896	True	0.9314	True	0.7735	True	0.6766	Non-substrate	0.9499	Non-inhibitor	0.9025	Non-inhibitor	0.9311	Non-inhibitor	0.7735	Non-substrate	0.9081	Non-substrate	0.6884	Non-substrate	0.6915	Inhibitor	0.8798	Non-inhibitor	0.9631	Non-inhibitor	0.9638	Non-inhibitor	0.9465	Non-inhibitor	0.9426	Low CYP Inhibitory Promiscuity	0.9132	Non AMES toxic	0.6502	Non-carcinogens	0.7808	Ready biodegradable	0.8818	Weak inhibitor	0.9315	Non-inhibitor	DB00132
39	0.7976	False	0.933	True	0.8867	True	0.5593	Non-substrate	0.9814	Non-inhibitor	0.8504	Non-inhibitor	0.7559	Non-inhibitor	0.842	Non-substrate	0.7591	Non-substrate	0.7256	Non-substrate	0.58	Non-inhibitor	0.7521	Non-inhibitor	0.7523	Non-inhibitor	0.7397	Non-inhibitor	0.8019	Non-inhibitor	0.7795	Low CYP Inhibitory Promiscuity	0.9132	Non AMES toxic	0.8999	Non-carcinogens	0.86	Not ready biodegradable	0.9415	Weak inhibitor	0.6221	Non-inhibitor	DB00152
41	0.9945	True	0.9539	True	0.8371	True	0.5962	Non-substrate	0.9487	Non-inhibitor	0.8964	Non-inhibitor	0.9272	Non-inhibitor	0.7643	Non-substrate	0.8954	Non-substrate	0.6678	Non-substrate	0.9107	Inhibitor	0.8972	Non-inhibitor	0.9545	Non-inhibitor	0.9467	Non-inhibitor	0.9295	Non-inhibitor	0.9349	Low CYP Inhibitory Promiscuity	0.9674	Non AMES toxic	0.6568	Non-carcinogens	0.811	Ready biodegradable	0.9133	Weak inhibitor	0.9103	Non-inhibitor	DB00154
43	0.939	True	0.6054	False	0.9009	False	0.7827	Non-substrate	0.9851	Non-inhibitor	0.9902	Non-inhibitor	0.9634	Non-inhibitor	0.8233	Non-substrate	0.8832	Non-substrate	0.8021	Non-substrate	0.8694	Non-inhibitor	0.9362	Non-inhibitor	0.9529	Non-inhibitor	0.9119	Non-inhibitor	0.8683	Non-inhibitor	0.9806	Low CYP Inhibitory Promiscuity	0.9538	Non AMES toxic	0.6811	Non-carcinogens	0.844	Ready biodegradable	0.9902	Weak inhibitor	0.9826	Non-inhibitor	DB00156
44	0.6017	False	0.5641	True	0.7045	False	0.601	Substrate	0.7066	Non-inhibitor	0.912	Non-inhibitor	0.9361	Non-inhibitor	0.8412	Non-substrate	0.8303	Non-substrate	0.5242	Substrate	0.7565	Non-inhibitor	0.849	Non-inhibitor	0.8849	Non-inhibitor	0.8294	Non-inhibitor	0.8753	Non-inhibitor	0.8373	Low CYP Inhibitory Promiscuity	0.8146	Non AMES toxic	0.9227	Non-carcinogens	0.9883	Not ready biodegradable	0.9379	Weak inhibitor	0.5992	Non-inhibitor	DB00157
45	0.7956	True	0.7609	True	0.844	False	0.687	Substrate	0.9795	Non-inhibitor	0.9969	Non-inhibitor	0.876	Non-inhibitor	0.8276	Non-substrate	0.7947	Non-substrate	0.6212	Non-substrate	0.9281	Non-inhibitor	0.9071	Non-inhibitor	0.9435	Non-inhibitor	0.916	Non-inhibitor	0.9075	Non-inhibitor	0.974	Low CYP Inhibitory Promiscuity	0.8724	Non AMES toxic	0.9521	Non-carcinogens	0.9191	Not ready biodegradable	0.9529	Weak inhibitor	0.8444	Non-inhibitor	DB00158
