Unnamed: 0	hia	hia.cls	bbb	bbb.cls	caco2	caco2.cls	p_glycoprotein_substrate	p_glycoprotein_substrate.cls	p_glycoprotein_inhibitor_1	p_glycoprotein_inhibitor_1.cls	p_glycoprotein_inhibitor_2	p_glycoprotein_inhibitor_2.cls	renal_organic_cation_transporter	renal_organic_cation_transporter.cls	cyp450_2c9_substrate	cyp450_2c9_substrate.cls	cyp450_2d6_substrate	cyp450_2d6_substrate.cls	cyp450_3a4_substrate	cyp450_3a4_substrate.cls	cyp450_1a2_substrate	cyp450_1a2_substrate.cls	cyp450_2c9_inhibitor	cyp450_2c9_inhibitor.cls	cyp450_2d6_inhibitor	cyp450_2d6_inhibitor.cls	cyp450_2c19_inhibitor	cyp450_2c19_inhibitor.cls	cyp450_3a4_inhibitor	cyp450_3a4_inhibitor.cls	cyp_inhibitory_promiscuity	cyp_inhibitory_promiscuity.cls	ames_toxicity	ames_toxicity.cls	carcinogenicity	carcinogenicity.cls	biodegradation	biodegradation.cls	herg_inhibitor_1	herg_inhibitor_1.cls	herg_inhibitor_2	herg_inhibitor_2.cls	id
0	0.8811	True	0.996	False	0.8319	False	0.8692	Substrate	0.647	Non-inhibitor	0.7858	Non-inhibitor	0.7959	Non-inhibitor	0.7558	Non-substrate	0.7957	Non-substrate	0.5794	Substrate	0.8977	Non-inhibitor	0.8331	Non-inhibitor	0.8894	Non-inhibitor	0.7784	Non-inhibitor	0.744	Non-inhibitor	0.9357	Low CYP Inhibitory Promiscuity	0.7642	Non AMES toxic	0.8217	Non-carcinogens	0.9705	Not ready biodegradable	0.9307	Weak inhibitor	0.514	Non-inhibitor	DB00006
2	0.7979	True	0.8866	False	0.7612	False	0.8242	Substrate	0.7864	Non-inhibitor	0.9237	Non-inhibitor	0.5915	Non-inhibitor	0.7833	Non-substrate	0.7901	Non-substrate	0.5497	Non-substrate	0.8383	Non-inhibitor	0.7906	Non-inhibitor	0.8735	Non-inhibitor	0.765	Non-inhibitor	0.7663	Non-inhibitor	0.9331	Low CYP Inhibitory Promiscuity	0.6679	Non AMES toxic	0.8428	Non-carcinogens	0.9445	Not ready biodegradable	0.83	Weak inhibitor	0.6036	Inhibitor	DB00035
3	0.913	True	0.9647	False	0.748	False	0.8796	Substrate	0.8235	Non-inhibitor	0.6194	Inhibitor	0.6856	Non-inhibitor	0.7609	Non-substrate	0.7938	Non-substrate	0.6358	Substrate	0.7491	Non-inhibitor	0.6987	Non-inhibitor	0.8339	Non-inhibitor	0.7056	Non-inhibitor	0.6531	Inhibitor	0.9001	Low CYP Inhibitory Promiscuity	0.6327	Non AMES toxic	0.7553	Non-carcinogens	1.0	Not ready biodegradable	0.7601	Weak inhibitor	0.649	Inhibitor	DB00050
6	0.5078	True	0.8022	True	0.6476	False	0.6324	Non-substrate	0.9035	Non-inhibitor	0.9694	Non-inhibitor	0.882	Non-inhibitor	0.6828	Non-substrate	0.7978	Non-substrate	0.5915	Non-substrate	0.8704	Non-inhibitor	0.9041	Non-inhibitor	0.901	Non-inhibitor	0.8772	Non-inhibitor	0.9308	Non-inhibitor	0.9352	Low CYP Inhibitory Promiscuity	0.6624	Non AMES toxic	0.8948	Non-carcinogens	0.5443	Ready biodegradable	0.8729	Weak inhibitor	0.9128	Non-inhibitor	DB00114
8	0.5181	False	0.533	False	0.8443	False	0.7509	Substrate	0.972	Non-inhibitor	0.9966	Non-inhibitor	0.8752	Non-inhibitor	0.8058	Non-substrate	0.7984	Non-substrate	0.637	Non-substrate	0.9344	Non-inhibitor	0.9265	Non-inhibitor	0.9437	Non-inhibitor	0.9215	Non-inhibitor	0.9161	Non-inhibitor	0.9631	Low CYP Inhibitory Promiscuity	0.8293	Non AMES toxic	0.954	Non-carcinogens	0.8759	Not ready biodegradable	0.9534	Weak inhibitor	0.6623	Non-inhibitor	DB00116
9	0.8921	True	0.7546	True	0.6669	False	0.6143	Non-substrate	0.9889	Non-inhibitor	0.9923	Non-inhibitor	0.907	Non-inhibitor	0.8647	Non-substrate	0.8235	Non-substrate	0.8363	Non-substrate	0.9815	Non-inhibitor	0.9646	Non-inhibitor	0.9566	Non-inhibitor	0.9656	Non-inhibitor	0.8309	Non-inhibitor	0.9798	Low CYP Inhibitory Promiscuity	0.7016	Non AMES toxic	0.9206	Non-carcinogens	0.569	Not ready biodegradable	0.9893	Weak inhibitor	0.9551	Non-inhibitor	DB00117
10	0.8102	True	0.8894	False	0.7307	False	0.7584	Substrate	0.9664	Non-inhibitor	0.993	Non-inhibitor	0.9295	Non-inhibitor	0.8308	Non-substrate	0.8224	Non-substrate	0.5753	Substrate	0.8308	Non-inhibitor	0.8396	Non-inhibitor	0.9192	Non-inhibitor	0.8457	Non-inhibitor	0.9731	Non-inhibitor	0.9647	Low CYP Inhibitory Promiscuity	0.6899	Non AMES toxic	0.9417	Non-carcinogens	0.9486	Not ready biodegradable	0.9755	Weak inhibitor	0.7962	Non-inhibitor	DB00118
11	0.9753	True	0.9401	True	0.6934	False	0.8153	Non-substrate	0.9498	Non-inhibitor	0.9514	Non-inhibitor	0.949	Non-inhibitor	0.7951	Non-substrate	0.9402	Non-substrate	0.7806	Non-substrate	0.98	Non-inhibitor	0.9608	Non-inhibitor	0.9697	Non-inhibitor	0.9834	Non-inhibitor	0.9882	Non-inhibitor	0.9932	Low CYP Inhibitory Promiscuity	0.8578	Non AMES toxic	0.5171	Carcinogens 	0.9262	Ready biodegradable	0.9883	Weak inhibitor	0.9801	Non-inhibitor	DB00119
13	0.7395	True	0.9383	True	0.7206	False	0.6413	Substrate	0.9561	Non-inhibitor	1.0	Non-inhibitor	0.8803	Non-inhibitor	0.7602	Non-substrate	0.7872	Non-substrate	0.6911	Non-substrate	0.9046	Non-inhibitor	0.9252	Non-inhibitor	0.9231	Non-inhibitor	0.9025	Non-inhibitor	0.8959	Non-inhibitor	0.9762	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.9598	Non-carcinogens	0.8923	Not ready biodegradable	0.9596	Weak inhibitor	0.9145	Non-inhibitor	DB00121
27	0.7309	True	0.5098	False	0.7541	False	0.606	Non-substrate	0.9749	Non-inhibitor	1.0	Non-inhibitor	0.9521	Non-inhibitor	0.9012	Non-substrate	0.8371	Non-substrate	0.8232	Non-substrate	0.8924	Non-inhibitor	0.8968	Non-inhibitor	0.9149	Non-inhibitor	0.9101	Non-inhibitor	0.6103	Non-inhibitor	0.995	Low CYP Inhibitory Promiscuity	0.5429	Non AMES toxic	0.781	Non-carcinogens	0.628	Ready biodegradable	0.9839	Weak inhibitor	0.9707	Non-inhibitor	DB00138
