SMILES,molecular_weight,logP,pKa,solubility,permeability,plasma_protein_binding,fu_in_vitro
CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,271.401 g/mol,,,,,65.0,
C1=CC=C(C(=C1)C(=O)N)O,137.1373 g/mol,,,5.5,,,
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,239.31 g/mol,,,,,7.0,
CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,242.701 g/mol,,,,,97.2,
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,336.476 g/mol,,8.4,,,84.0,
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,454.607 g/mol,,,,,90.0,
CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,356.415 g/mol,,,,,94.0,
C1CNP(=O)(OC1)N(CCCl)CCCl,261.087 g/mol,,,,,13.0,
CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,226.2742 g/mol,,,,,5.0,
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CCCCC4)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C,637.738 g/mol,,,,,69.0,
CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,548.6 g/mol,,,,,20.0,
C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,444.438 g/mol,,,,,88.0,
C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,250.199 g/mol,,,0.0055,,98.5,
CCCC(CCC)C(=O)O,144.212 g/mol,,,,,93.0,
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,216.191 g/mol,1.9,,,,,
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,241.2885 g/mol,,,0.04,,90.0,
CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,328.41 g/mol,3.1,,,,50.0,
CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,314.408 g/mol,,,,,15.0,
CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,388.418 g/mol,3.18,,,,99.73,
