OID,Drug Name,SMILES,molecular_weight,logP,pKa,solubility
1,dextromethorphan,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,271.401 g/mol,,,
2,salicylamide,C1=CC=C(C(=C1)C(=O)N)O,137.1373 g/mol,,,5.5
3,albuterol (salbutamol),CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,239.31 g/mol,,,
4,clofibrate,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,242.701 g/mol,,,
5,fentanyl,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,336.476 g/mol,,8.4,
6,verapamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,454.607 g/mol,,,
7,sulindac,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,356.415 g/mol,,,
8,cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,261.087 g/mol,,,
9,pentobarbital,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,226.2742 g/mol,,,
10,vecuronium,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CCCCC4)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C,637.738 g/mol,,,
11,terbutaline,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,548.6 g/mol,,,
12,doxycycline,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,444.438 g/mol,,,
13,diflunisal,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,250.199 g/mol,,,0.0055
14,valproic acid,CCCC(CCC)C(=O)O,144.212 g/mol,,,
15,methoxsalen (8-methoxypsoralen),COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,216.191 g/mol,1.9,,
16,mefenamic acid,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,241.2885 g/mol,,,0.04
17,labetalol,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,328.41 g/mol,3.1,,
18,ranitidine,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,314.408 g/mol,,,
19,nisoldipine,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,388.418 g/mol,3.18,,
20,prednisone,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,358.4 g/mol,,,0.168
21,terfenadine,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,471.681 g/mol,7.1,,0.0000963
22,azlocillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)O)C,461.497 g/mol,,,
23,ciprofibrate,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,289.1566 g/mol,,,
24,idrocilamide,C1=CC=C(C=C1)/C=C/C(=O)NCCO,191.229 g/mol,0.9,,
25,primaquine,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,259.351 g/mol,,,
26,proguanil,CC(C)N=C(N)/N=C(\N)/NC1=CC=C(C=C1)Cl,253.735 g/mol,,,
27,decitabine,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,228.21 g/mol,,,5.5
28,atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,266.34 g/mol,,9,10^-2
29,netilmicin,CCN[C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)NC)O)O)O[C@@H]3[C@@H](CC=C(O3)CN)N)N,475.5829 g/mol,,,
30,minocycline,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,457.48 g/mol,,,
31,nitrazepam,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3,281.2699 g/mol,,,
32,atropine,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,289.373 g/mol,,,
33,moxonidine,CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC,241.6808 g/mol,,,
34,enalapril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O,376.45 g/mol,,,
35,lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,234.341 g/mol,2.44,8.01,
36,clindamycin,CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl,424.987 g/mol,,,
37,progesterone,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,314.5 g/mol,,,
