Drug Name	SMILES	molecular_weight	permeability	plasma_protein_binding	fu_in_vitro
dextromethorphan	CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC	271.401 g/mol		65	
salicylamide	C1=CC=C(C(=C1)C(=O)N)O	137.1373 g/mol			
albuterol (salbutamol)	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O	239.31 g/mol		7	
clofibrate	CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl	242.701 g/mol		97.2	
fentanyl	CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3	336.476 g/mol		84	
verapamil	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC	454.607 g/mol		90	
sulindac	CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O	356.415 g/mol		94	
cyclophosphamide	C1CNP(=O)(OC1)N(CCCl)CCCl	261.087 g/mol		13	
pentobarbital	CCCC(C)C1(C(=O)NC(=O)NC1=O)CC	226.2742 g/mol		5	
vecuronium	CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CCCCC4)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C	637.738 g/mol		69	
terbutaline	CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O	548.6 g/mol		20	
doxycycline	C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O	444.438 g/mol		88	
diflunisal	C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O	250.199 g/mol		98.5	
valproic acid	CCCC(CCC)C(=O)O	144.212 g/mol		93	
methoxsalen (8-methoxypsoralen)	COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2	216.191 g/mol			
mefenamic acid	CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C	241.2885 g/mol		90	
labetalol	CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O	328.41 g/mol		50	
ranitidine	CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C	314.408 g/mol		15	
nisoldipine	CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC	388.418 g/mol		99.73	
prednisone	C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C	358.4 g/mol		75	
terfenadine	CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O	471.681 g/mol			
azlocillin	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)O)C	461.497 g/mol		27.9	
ciprofibrate	CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl	289.1566 g/mol		99	
idrocilamide	C1=CC=C(C=C1)/C=C/C(=O)NCCO	191.229 g/mol		96.4	
primaquine	CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2	259.351 g/mol		55	
proguanil	CC(C)N=C(N)/N=C(\N)/NC1=CC=C(C=C1)Cl	253.735 g/mol		75	
decitabine	C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O	228.21 g/mol		1	
atenolol	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	266.34 g/mol		5	
