Drug Name,SMILES,molecular_weight,logP,pKa,solubility,permeability,plasma_protein_binding,fm_in_vitro,fu_in_vitro,Clearance,CYP450_Enzyme
dextromethorphan,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,271.401,,,,,0.65,,,1116.5,
benzbromarone,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,424.087,,,,,,,,42.0,
salicylamide,C1=CC=C(C(=C1)C(=O)N)O,137.1373,,,3.3,,,,,,
albuterol (salbutamol),CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,239.31,,,,,,,,6.65,
clofibrate,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,242.701,,,,,0.49050000000000005,,,0.1,
dextrorphan,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)O,257.375,,,,,,,,19.5,
fentanyl,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,336.476,860.0,8.4,,,0.43,,,0.5,CYP450_3a4_substrate
verapamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,454.607,,,,,0.46,,,10.5,CYP450_3a4_substrate
sulindac,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,356.415,,,,,0.94,,,,
cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,261.087,,,,,0.13,,,0.9,CYP450_3a4_substrate
etintidine,CC1=C(N=CN1)CSCCN=C(NCC#C)NC#N,276.3664,,,,,,,,40.85,
pentobarbital,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,226.2742,,,,,0.05,,,,
vecuronium,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CCCCC4)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C,637.738,,,,,0.69,,,4.7,
iproplatin,CC(C)N.CC(C)N.O.O.Cl[Pt]Cl,414.1904,,,,,,,,164.65,
terbutaline,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,548.6,,,,,0.2,,,2.0,
doxycycline,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,444.438,,,,,0.465,,,0.355,
diflunisal,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,250.199,,,0.001,,0.99,,,4.2,
valproic acid,CCCC(CCC)C(=O)O,144.212,,,,,0.47,,,0.065,CYP450_3a4_inhibitor
methoxsalen (8-methoxypsoralen),COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,216.191,1.9,,,,,,,,
mefenamic acid,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,241.2885,,,0.004,,0.9,,,21.13,
labetalol,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,328.41,3.1,,,,0.5,0.366,,33.0,
cholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,408.57,,,,,,,,9.44,CYP450_3a4_substrate
ranitidine,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,314.408,,,,,0.09,,,5.75,
nisoldipine,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,388.418,3.1,,,,0.9973000000000001,,,11.0,
prednisone,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,358.4,,,168.2,,0.385,,,2.2,CYP450_3a4_substrate
desipramine,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,266.386,,,,,,,,0.7450000000000001,CYP450_2d6_substrate
